"","Year","Country","Energy type","Generation (TWh)"
"486",2000,"Sweden","Wind and solar",0.458418
"487",2000,"Sweden","Wind",0.457
"488",2000,"Sweden","Solar",0.001418
"489",2000,"Sweden","Bioenergy",4.098
"490",2000,"Sweden","Other renewables",0
"491",2000,"Sweden","Production",145.231418
"492",2000,"Sweden","Net imports",4.67799999999999
"493",2000,"Sweden","Demand",149.909418
"494",2000,"United Kingdom","Fossil",279.342
"495",2000,"United Kingdom","Coal",119.95
"496",2000,"United Kingdom","Hard Coal",119.95
"497",2000,"United Kingdom","Lignite",0
"498",2000,"United Kingdom","Gas",148.077
"499",2000,"United Kingdom","Other fossil",11.315
"500",2000,"United Kingdom","Nuclear",85.063
"501",2000,"United Kingdom","Renewables",9.97
"502",2000,"United Kingdom","Hydro",5.086
"503",2000,"United Kingdom","Wind and solar",0.948
"504",2000,"United Kingdom","Wind",0.947
"505",2000,"United Kingdom","Solar",0.001
"506",2000,"United Kingdom","Bioenergy",3.936
"507",2000,"United Kingdom","Other renewables",0
"508",2000,"United Kingdom","Production",374.375
"509",2000,"United Kingdom","Net imports",14.174
"510",2000,"United Kingdom","Demand",388.549
"511",2001,"Austria","Fossil",18.819009
"512",2001,"Austria","Coal",6.893
"513",2001,"Austria","Hard Coal",5.299
"514",2001,"Austria","Lignite",1.594
"515",2001,"Austria","Gas",8.746
"516",2001,"Austria","Other fossil",3.180009
"517",2001,"Austria","Nuclear",0
"518",2001,"Austria","Renewables",42.233201
"519",2001,"Austria","Hydro",40.455406
"520",2001,"Austria","Wind and solar",0.109983
"521",2001,"Austria","Wind",0.104647
"522",2001,"Austria","Solar",0.005336
"523",2001,"Austria","Bioenergy",1.667812
"524",2001,"Austria","Other renewables",0
"525",2001,"Austria","Production",61.05221
"526",2001,"Austria","Net imports",0.214999999999999
"527",2001,"Austria","Demand",61.26721
"528",2001,"Belgium","Fossil",31.194
"529",2001,"Belgium","Coal",9.936
"530",2001,"Belgium","Hard Coal",9.936
"531",2001,"Belgium","Lignite",0
"532",2001,"Belgium","Gas",15.78
"533",2001,"Belgium","Other fossil",5.478
"534",2001,"Belgium","Nuclear",46.349
"535",2001,"Belgium","Renewables",1.07499999999999
"536",2001,"Belgium","Hydro",0.440999999999999
"537",2001,"Belgium","Wind and solar",0.037
"538",2001,"Belgium","Wind",0.037
"539",2001,"Belgium","Solar",0
"540",2001,"Belgium","Bioenergy",0.597
"541",2001,"Belgium","Other renewables",0
"542",2001,"Belgium","Production",78.618
"543",2001,"Belgium","Net imports",9.106
"544",2001,"Belgium","Demand",87.7239999999999
"545",2001,"Bulgaria","Fossil",22.244
"546",2001,"Bulgaria","Coal",19.497
"547",2001,"Bulgaria","Hard Coal",4.446
"548",2001,"Bulgaria","Lignite",15.051
"549",2001,"Bulgaria","Gas",1.908
"550",2001,"Bulgaria","Other fossil",0.839
"551",2001,"Bulgaria","Nuclear",19.553
"552",2001,"Bulgaria","Renewables",1.65099999999999
"553",2001,"Bulgaria","Hydro",1.65099999999999
"554",2001,"Bulgaria","Wind and solar",0
"555",2001,"Bulgaria","Wind",0
"556",2001,"Bulgaria","Solar",0
"557",2001,"Bulgaria","Bioenergy",0
"558",2001,"Bulgaria","Other renewables",0
"559",2001,"Bulgaria","Production",43.448
"560",2001,"Bulgaria","Net imports",-6.92499999999999
"561",2001,"Bulgaria","Demand",36.523
"562",2001,"Croatia","Fossil",5.59
"563",2001,"Croatia","Coal",1.638
"564",2001,"Croatia","Hard Coal",1.625
"565",2001,"Croatia","Lignite",0.013
"566",2001,"Croatia","Gas",1.823
"567",2001,"Croatia","Other fossil",2.129
"568",2001,"Croatia","Nuclear",0
"569",2001,"Croatia","Renewables",7.1804
"570",2001,"Croatia","Hydro",7.1804
"571",2001,"Croatia","Wind and solar",0
"572",2001,"Croatia","Wind",0
"573",2001,"Croatia","Solar",0
"574",2001,"Croatia","Bioenergy",0
"575",2001,"Croatia","Other renewables",0
"576",2001,"Croatia","Production",12.7704
"577",2001,"Croatia","Net imports",2.522
"578",2001,"Croatia","Demand",15.2924
"579",2001,"Cyprus","Fossil",3.551
"580",2001,"Cyprus","Coal",0
"581",2001,"Cyprus","Hard Coal",0
"582",2001,"Cyprus","Lignite",0
"583",2001,"Cyprus","Gas",0
"584",2001,"Cyprus","Other fossil",3.551
"585",2001,"Cyprus","Nuclear",0
"586",2001,"Cyprus","Renewables",0
"587",2001,"Cyprus","Hydro",0
"588",2001,"Cyprus","Wind and solar",0
"589",2001,"Cyprus","Wind",0
"590",2001,"Cyprus","Solar",0
"591",2001,"Cyprus","Bioenergy",0
"592",2001,"Cyprus","Other renewables",0
"593",2001,"Cyprus","Production",3.551
"594",2001,"Cyprus","Net imports",0
"595",2001,"Cyprus","Demand",3.551
"596",2001,"Czech Republic","Fossil",56.908726
"597",2001,"Czech Republic","Coal",52.594
"598",2001,"Czech Republic","Hard Coal",5.673
"599",2001,"Czech Republic","Lignite",46.921
"600",2001,"Czech Republic","Gas",1.58
"601",2001,"Czech Republic","Other fossil",2.734726
"602",2001,"Czech Republic","Nuclear",14.749
"603",2001,"Czech Republic","Renewables",2.576671
"604",2001,"Czech Republic","Hydro",2.054
"605",2001,"Czech Republic","Wind and solar",8.1e-05
"606",2001,"Czech Republic","Wind",0
"607",2001,"Czech Republic","Solar",8.1e-05
"608",2001,"Czech Republic","Bioenergy",0.52259
"609",2001,"Czech Republic","Other renewables",0
"610",2001,"Czech Republic","Production",74.234397
"611",2001,"Czech Republic","Net imports",-9.539
"612",2001,"Czech Republic","Demand",64.695397
"613",2001,"Denmark","Fossil",31.8669999999999
"614",2001,"Denmark","Coal",17.819
"615",2001,"Denmark","Hard Coal",17.819
"616",2001,"Denmark","Lignite",0
"617",2001,"Denmark","Gas",9.273
"618",2001,"Denmark","Other fossil",4.775
"619",2001,"Denmark","Nuclear",0
"620",2001,"Denmark","Renewables",5.846
"621",2001,"Denmark","Hydro",0.028
"622",2001,"Denmark","Wind and solar",4.307
"623",2001,"Denmark","Wind",4.306
"624",2001,"Denmark","Solar",0.001
"625",2001,"Denmark","Bioenergy",1.511
"626",2001,"Denmark","Other renewables",0
"627",2001,"Denmark","Production",37.713
"628",2001,"Denmark","Net imports",-0.574999999999999
"629",2001,"Denmark","Demand",37.138
"630",2001,"Estonia","Fossil",8.465
"631",2001,"Estonia","Coal",0
"632",2001,"Estonia","Hard Coal",0
"633",2001,"Estonia","Lignite",0
"634",2001,"Estonia","Gas",0.599
"635",2001,"Estonia","Other fossil",7.866
"636",2001,"Estonia","Nuclear",0
"637",2001,"Estonia","Renewables",0.018
"638",2001,"Estonia","Hydro",0.007
"639",2001,"Estonia","Wind and solar",0
"640",2001,"Estonia","Wind",0
"641",2001,"Estonia","Solar",0
"642",2001,"Estonia","Bioenergy",0.011
"643",2001,"Estonia","Other renewables",0
"644",2001,"Estonia","Production",8.48299999999999
"645",2001,"Estonia","Net imports",-0.622
"646",2001,"Estonia","Demand",7.861
"647",2001,"EU-27","Fossil",1377.885791
"648",2001,"EU-27","Coal",792.372
"649",2001,"EU-27","Hard Coal",442.38
